id,question_type,exact_match,bleurt,bert_score_f1,rouge_1_fmeasure,overall_score
699,선택형,0.0,88.18181818181817,92.00761318206787,90.9090909090909,77.24811915917829
700,선택형,0.0,33.503019844693696,81.74213171005249,36.065573770491795,46.25814989489455
701,교정형,0.0,17.568058076225043,74.8805046081543,21.052631578947366,36.211806376919334
702,선택형,0.0,22.898936170212757,77.55519151687622,25.531914893617014,39.51532766920455
703,교정형,0.0,13.420961604980974,72.7060616016388,16.94915254237288,33.39246919115123
704,교정형,0.0,23.214285714285708,76.6272485256195,28.571428571428566,40.30167984110968
705,교정형,0.0,30.978135788262374,76.28193497657776,36.36363636363637,44.0726703373143
706,교정형,0.0,22.833333333333332,77.2745430469513,25.0,39.22109006643295
707,선택형,0.0,28.579626972740307,77.80681848526001,29.268292682926827,41.76323295477644
708,선택형,0.0,35.25409836065574,76.62602066993713,36.0655737704918,44.73017280824848
709,선택형,0.0,19.672131147540988,74.53392148017883,19.672131147540988,35.92293809183308
710,선택형,0.0,35.788583509513735,72.86537885665894,37.2093023255814,43.89442594021118
711,선택형,0.0,17.375366568914956,76.71343684196472,19.35483870967742,36.230201428411995
712,선택형,100.0,20.47179487179487,69.36184167861938,21.333333333333336,49.81408048495268
713,선택형,0.0,27.099391480730223,74.88306164741516,27.586206896551722,39.929152712497945
714,교정형,0.0,16.806722689075627,74.37117099761963,16.806722689075627,34.433271193704684
715,교정형,0.0,19.53417721518987,74.40400719642639,24.000000000000004,37.37152910102772
716,선택형,0.0,30.740305522914213,72.44033217430115,32.43243243243243,41.316513440793884
717,선택형,0.0,17.25067385444744,78.06748151779175,18.867924528301888,36.51499319429989
718,교정형,0.0,50.969387755102034,80.54860830307007,55.10204081632652,55.1231353550541
719,교정형,0.0,15.0997150997151,69.81509327888489,18.51851851851852,33.18172139404846
720,교정형,0.0,20.24024024024024,76.01158618927002,22.22222222222222,37.41786898005832
721,선택형,0.0,23.80681818181818,75.0306785106659,25.0,38.58176020600579
722,교정형,0.0,19.928094504365692,74.72389340400696,24.242424242424246,37.62742535190577
723,교정형,0.0,13.797101449275361,76.05845928192139,15.555555555555555,34.13447041050823
724,선택형,0.0,11.778584392014519,70.25123238563538,13.793103448275861,31.18230520067111
725,교정형,0.0,12.455731593662627,66.73181653022766,15.517241379310345,30.655530007387696
726,선택형,0.0,39.52935694315005,86.08695268630981,45.94594594594595,52.140918062762026
727,선택형,0.0,44.52113891285591,80.76291084289551,49.180327868852466,52.15830438604017
728,교정형,0.0,9.101181304571135,70.39831876754761,12.121212121212121,30.247013006751576
729,선택형,0.0,29.721362229102162,80.97214102745056,35.29411764705882,45.1513948704436
730,선택형,0.0,40.615835777126094,83.51142406463623,45.45454545454545,51.2304646982825
731,교정형,0.0,34.48275862068966,77.3043692111969,34.48275862068966,44.29790853426374
732,교정형,0.0,40.79236977256053,79.0434718132019,42.5531914893617,48.677687621781345
733,선택형,0.0,10.79199110122358,67.75716543197632,14.516129032258062,30.41445172766557
734,선택형,0.0,22.203947368421055,75.29961466789246,23.68421052631579,37.974930923236045
735,교정형,0.0,17.272143774069317,76.2371301651001,21.95121951219512,36.95674395316372
736,교정형,0.0,0.0,63.35238814353943,0.0,22.1733358502388
737,교정형,100.0,30.45197740112994,74.35974478721619,33.333333333333336,57.26037395236182
738,선택형,0.0,18.321917808219176,73.55395555496216,21.91780821917808,36.16340499218195
739,교정형,0.0,19.977703455964324,75.58347582817078,23.18840579710145,37.566814087239926
740,선택형,0.0,23.96428571428571,79.08827662467957,26.190476190476193,40.44220634244738
741,선택형,0.0,29.6875,74.0210771560669,31.25,41.29800200462341
742,선택형,0.0,26.943319838056684,74.03932213783264,28.947368421052634,40.08683967131835
743,선택형,0.0,11.111111111111109,71.35865688323975,12.82051282051282,31.129376062980064
744,교정형,0.0,97.09044908285894,99.5298683643341,98.0392156862745,83.71274678014186
745,선택형,0.0,16.743940990516332,72.96050190925598,19.178082191780824,34.760095583940334
746,교정형,100.0,67.44801512287334,89.46553468704224,69.56521739130434,80.7779654958523
747,교정형,0.0,13.432835820895523,72.51672744750977,17.91044776119403,33.66443669618065
748,선택형,0.0,10.80078125,71.27186059951782,12.5,30.940268397331238
749,교정형,0.0,17.2721396250808,70.36962509155273,18.823529411764707,33.80842501992322
